model,theta,path_index,path_phase,levels,maximum_depth,target_only_budget,anchored_budget,nuisance_total_variation,minimum_visibility,known_fisher,anchored_efficient_fisher,unanchored_efficient_fisher,stationary_unknown_fisher,anchor_efficiency_fraction,known_local_error,anchored_local_error
readout,0.173,2,1.49,8,255,64256,128512,0.18000000000000005,0.743369236382164,3238667.1686422606,1895575.1320198148,4.697540134657174e-10,3380095.441398088,0.5852948244800631,0.0005556698596289084,0.0007263225013062156
readout,0.173,2,1.49,9,511,129664,259328,0.18000000000000016,0.7372430922458486,62357761.15289563,49683915.81419522,2.2879476091475226e-12,62204215.47542757,0.7967559273395772,0.00012663528814554708,0.00014187049740140728
readout,0.231,0,0.31,3,7,1408,2816,0.18000000000000005,0.72,2908.302260163151,2610.692092982984,0.0,2551.051525712558,0.8976687632311396,0.01854300987519716,0.019571412616101035
readout,0.231,0,0.31,4,15,3328,6656,0.18000000000000005,0.7260466131336252,56243.536283000845,42457.49917657134,7.759126674500294e-12,31611.816196412692,0.7548867297912735,0.004216612487094088,0.004853139724572734
readout,0.231,0,0.31,5,31,7296,14592,0.18000000000000005,0.7134640889222172,366287.1088486855,350067.033468156,5.820766091346741e-11,335186.44182955124,0.9557175915048922,0.0016523010651929774,0.0016901466652164171
readout,0.231,0,0.31,6,63,15360,30720,0.18000000000000005,0.7209860128669077,1420828.8969336408,1217172.2748619304,7.73070496506989e-12,1125744.9827032024,0.8566635134524421,0.0008389365377076363,0.0009064085100280321
readout,0.231,0,0.31,7,127,31616,63232,0.18000000000000005,0.7145000405198209,6063666.802720083,5363493.099954346,4.092726157978177e-12,5627863.1255658055,0.8845296541604747,0.0004060993885215414,0.0004317935362679875
readout,0.231,0,0.31,8,255,64256,128512,0.18000000000000005,0.7216112762326303,27696287.460434146,26992982.700918876,6.554046194651164e-11,25883087.248778705,0.974606533077042,0.00019001558407157317,0.00019247510349167338
readout,0.231,0,0.31,9,511,129664,259328,0.17999999999999994,0.7207151928881347,62819762.96361481,48809980.699756995,1.319335751759354e-10,51579942.12125537,0.776984477449043,0.00012616876538493928,0.0001431349471656053
readout,0.231,1,0.87,3,7,1408,2816,0.18000000000000016,0.72,2851.3704880710575,2586.854390636062,5.684341886080802e-14,2551.051525712558,0.9072319438874673,0.01872721406693701,0.01966138050437399
readout,0.231,1,0.87,4,15,3328,6656,0.17999999999999994,0.7307448704002062,42247.851911181584,30363.983482928023,1.460875864722766e-11,31611.816196412678,0.7187107062096972,0.004865166233892489,0.005738793883339082
readout,0.231,1,0.87,5,31,7296,14592,0.18000000000000005,0.7216528642779791,341428.92787194304,324899.487448456,0.0,335186.44182955124,0.9515874635271484,0.0017113933607498747,0.0017543873487446892
readout,0.231,1,0.87,6,63,15360,30720,0.17999999999999972,0.7261033564116556,1279844.6650238023,1080521.4432358015,2.842170943040401e-14,1125744.9827032024,0.8442598330600583,0.0008839371134036696,0.0009620182369053779
readout,0.231,1,0.87,7,127,31616,63232,0.18000000000000005,0.7297369232768183,5693689.786486052,4986755.3803646695,1.1689849088725168e-10,5627863.1255658055,0.8758389668858868,0.0004190859481273592,0.0004478070922532084
readout,0.231,1,0.87,8,255,64256,128512,0.17999999999999994,0.7294597119301454,26156824.28611293,25455550.15958431,6.59383658785373e-11,25883087.248778705,0.9731896304055176,0.00019552734020969283,0.00019820233025362184
readout,0.231,1,0.87,9,511,129664,259328,0.17999999999999994,0.7335155911407611,58781191.63941812,46175704.20334418,2.913225216616411e-11,51579942.1212554,0.7855523665903225,0.00013043099489400362,0.00014716117145513387
readout,0.231,2,1.49,3,7,1408,2816,0.18000000000000005,0.6985047115323899,3051.61394242281,2847.33301098429,4.547473508864641e-13,2551.051525712558,0.9330580685195283,0.018102360306330546,0.018740486822998587
readout,0.231,2,1.49,4,15,3328,6656,0.17999999999999983,0.7442626052971444,40544.8752761457,28996.47575972047,2.2737367544323206e-13,31611.816196412678,0.7151699336162552,0.004966289309217125,0.00587255903890444
readout,0.231,2,1.49,5,31,7296,14592,0.18000000000000016,0.7358478391041429,313408.27729676804,296089.6908955961,0.0,335186.44182955124,0.9447411327149702,0.001786260393861697,0.0018377581469749015
readout,0.231,2,1.49,6,63,15360,30720,0.17999999999999983,0.7409900509249322,1213803.8196772218,1019952.3658999474,7.30437932361383e-12,1125744.9827032024,0.8402942463726766,0.0009076653363292098,0.000990170663780176
readout,0.231,2,1.49,7,127,31616,63232,0.18000000000000005,0.7438300253270391,5393807.233729161,4688936.747560769,5.820766091346741e-10,5627863.125565804,0.8693185618943486,0.0004305784492655817,0.0004618094470570439
readout,0.231,2,1.49,8,255,64256,128512,0.18000000000000005,0.743369236382164,24874262.707172118,24172072.052429505,3.725347141880775e-09,25883087.248778705,0.9717703932370165,0.00020050485434204026,0.0002033963054168143
readout,0.231,2,1.49,9,511,129664,259328,0.18000000000000016,0.7372430922458486,54947653.9979098,43533879.6768827,3.725432407009066e-09,51579942.1212554,0.7922791331280262,0.0001349041849997763,0.00015156059923631188
readout,0.317,0,0.31,3,7,1408,2816,0.18000000000000005,0.72,18805.168918017807,18225.41019904806,1.8189894035458565e-12,16939.548546281123,0.9691702466754094,0.007292247169647699,0.007407324047731793
readout,0.317,0,0.31,4,15,3328,6656,0.18000000000000005,0.7260466131336252,17428.626827965818,15854.964097160504,1.8474111129762605e-12,16941.05982868625,0.9097081631078228,0.007574751929874241,0.007941771154667605
