trial,pair_budget,best_gap,fraction_of_optimum
22,16,0.0052912720809622504,0.504395174258311
22,64,0.0052912720809622504,0.504395174258311
22,256,0.005611882501646126,0.5349576451604812
22,1024,0.010297656222332363,0.9816331546063564
23,16,0.0019386751258676505,0.18480591490665457
23,64,0.010490316439058511,0.9999986595551318
23,256,0.010490316439058511,0.9999986595551318
23,1024,0.010490316439058511,0.9999986595551318
24,16,0.00255624871743354,0.24367666178356806
24,64,0.0052706372636096566,0.5024281421089348
24,256,0.010368897870858707,0.9884243275366207
24,1024,0.010402420117128885,0.9916198652051169
25,16,0.010267416171503396,0.9787504951108569
25,64,0.010267416171503396,0.9787504951108569
25,256,0.010267416171503396,0.9787504951108569
25,1024,0.01049031626930319,0.9999986433730562
26,16,0.0002965362310128894,0.028267577555461606
26,64,0.0013071651637460713,0.12460667122454806
26,256,0.0055195893912711735,0.5261597230770736
26,1024,0.010402450326985724,0.9916227449863436
27,16,0.005544497250817848,0.5285340867393863
27,64,0.005544497250817848,0.5285340867393863
27,256,0.010294924379863346,0.9813727393154542
27,1024,0.01039574573391766,0.9909836237434455
28,16,0.0012572425964146872,0.11984775849746779
28,64,0.003451114416396006,0.3289805231725811
28,256,0.0048419610178204175,0.4615642011913586
28,1024,0.01030774404595558,0.9825947852835288
29,16,0.001856075122155576,0.17693199675831542
29,64,0.003911365322896154,0.3728543464488301
29,256,0.010442128094322989,0.9954050631253536
29,1024,0.010490324380893368,0.9999994166175386
30,16,0.001288440728075213,0.12282174789258182
30,64,0.005307546509931926,0.5059465485423228
30,256,0.005307546509931926,0.5059465485423228
30,1024,0.010490311668012287,0.9999982047509457
31,16,0.0007364057738998842,0.07019852938341245
31,64,0.0044645292783866974,0.4255851880033488
31,256,0.010172756963326868,0.9697270226692979
31,1024,0.010402450326985724,0.9916227449863436
32,16,0.004455488768015492,0.4247233933849101
32,64,0.005550625353339167,0.5291182535128612
32,256,0.005550625353339167,0.5291182535128612
32,1024,0.010402420117129552,0.9916198652051804
33,16,0.005268656688241502,0.5022393420165059
33,64,0.005548660060914479,0.5289309102804869
33,256,0.010389488382697487,0.9903871362238468
33,1024,0.010395677164022454,0.990977087257755
34,16,0.000350823851615778,0.03344259283252206
34,64,0.004997435850654597,0.47638497664955737
34,256,0.010368897870858707,0.9884243275366207
34,1024,0.010397551378970249,0.9911557484493788
35,16,0.003817367210223188,0.36389389351876433
35,64,0.004766320338309038,0.4543536867556275
35,256,0.010016653269746989,0.9548463005063071
35,1024,0.010402420117129552,0.9916198652051804
36,16,0.005273784101126888,0.5027281171685386
36,64,0.005273784101126888,0.5027281171685386
36,256,0.005432674658685688,0.5178744995963529
36,1024,0.01025944071771534,0.9779902279498297
37,16,0.005256382870807985,0.501069329552874
37,64,0.010290572484897509,0.980957891092558
37,256,0.010290572484897509,0.980957891092558
37,1024,0.010466438712333992,0.9977224942119359
38,16,0.0003549671050507852,0.033837552117618346
38,64,0.01046734737445365,0.9978091132292864
38,256,0.01046734737445365,0.9978091132292864
38,1024,0.01046734737445365,0.9978091132292864
39,16,0.001363252164696016,0.12995321401896598
39,64,0.005447507478505309,0.5192884512176612
39,256,0.010466438712333992,0.9977224942119359
39,1024,0.010466438712333992,0.9977224942119359
40,16,0.0009410675721426287,0.0897080956671208
40,64,0.0057159007421222485,0.5448732756040126
40,256,0.0057159007421222485,0.5448732756040126
40,1024,0.010402333470027836,0.9916116054938482
41,16,0.0013268624457546396,0.12648433199101541
41,64,0.004719164740538018,0.4498585378403891
41,256,0.010180496761371782,0.9704648257389292
41,1024,0.010271692296292989,0.9791581204749271
42,16,0.003417021418834598,0.32573057813425166
42,64,0.003978516464234194,0.37925558817644983
42,256,0.010179047830090715,0.9703267050876341
42,1024,0.010278097652535068,0.9797687167036742
