estimator,theta,curvature,depth,duration,physical_depth_budget,trials,bias,deterministic_bias,rmse,median_absolute_error,q90_absolute_error,crossover_xi,normalized_absolute_deterministic_bias
amplified_rtr,0.173,1e-08,15,15.0,23040,4096,-3.884778134884984e-05,-1.125e-06,0.0025379459318324122,0.001680772010437273,0.004177761013853684,3.375e-05,1.6875e-05
amplified_rtr,0.173,1e-08,31,31.0,47616,4096,9.317023806728005e-06,-4.805000000000001e-06,0.00121648555632528,0.0008195761829363213,0.002005859129061996,0.00029791,0.000148955
amplified_rtr,0.173,1e-08,63,63.0,96768,4096,-1.7759769547577975e-05,-1.9844999999999997e-05,0.0006727524265609134,0.00045665958429505493,0.0011029654597686372,0.00250047,0.0012502349999999997
amplified_rtr,0.173,1e-08,127,127.0,195072,4096,-7.644763335826906e-05,-8.064500000000001e-05,0.0003269467339118562,0.00022112191800804926,0.0005304234427054022,0.02048383,0.010241915
amplified_rtr,0.173,1e-08,255,255.0,391680,4096,-0.00032587356114217826,-0.000325125,0.00036090620238971504,0.0003211174077756701,0.0005255935725264893,0.16581375,0.082906875
amplified_rtr,0.173,3e-08,1,1.0,1536,4096,0.00019241689984968304,-1.4999999999999995e-08,0.03968298501826712,0.02652967099656678,0.06546762409503151,3e-08,1.4999999999999995e-08
amplified_rtr,0.173,3e-08,3,3.0,4608,4096,-8.803406959476893e-05,-1.3499999999999998e-07,0.01178783598752382,0.00811365769425465,0.019250207037523545,8.1e-07,4.0499999999999993e-07
amplified_rtr,0.173,3e-08,7,7.0,10752,4096,5.304144615953039e-05,-7.35e-07,0.005182196302900245,0.0034748246603212574,0.008571214554926113,1.029e-05,5.145e-06
amplified_rtr,0.173,3e-08,15,15.0,23040,4096,-3.082174280237684e-05,-3.3749999999999995e-06,0.00254206023485947,0.001679500669991979,0.004191197505827277,0.00010125,5.062499999999999e-05
amplified_rtr,0.173,3e-08,31,31.0,47616,4096,4.996591228581189e-05,-1.4415000000000002e-05,0.0012372676048415792,0.0008244270633402245,0.00206198386045528,0.0008937299999999999,0.00044686500000000007
amplified_rtr,0.173,3e-08,63,63.0,96768,4096,-5.702160669550398e-05,-5.953499999999999e-05,0.0006618034560104517,0.0004519307806077344,0.0010897653612885472,0.007501409999999999,0.0037507049999999996
amplified_rtr,0.173,3e-08,127,127.0,195072,4096,-0.00023034934940028724,-0.00024193499999999993,0.00039169421503244285,0.0002715423720376503,0.0006372957677725222,0.06145149,0.030725744999999992
amplified_rtr,0.173,3e-08,255,255.0,391680,4096,-0.000976938632855089,-0.0009753750000000001,0.0009899019289175339,0.0009701156696177993,0.0011827920921629875,0.49744124999999995,0.24872062500000003
amplified_rtr,0.173,1e-07,1,1.0,1536,4096,-0.0005749216470024338,-5.0000000000000004e-08,0.039191776489216686,0.026371532579152285,0.06508004805263237,1e-07,5.0000000000000004e-08
amplified_rtr,0.173,1e-07,3,3.0,4608,4096,0.0003567985000222921,-4.499999999999999e-07,0.011829648883014226,0.007927542280989783,0.019610875893068938,2.7e-06,1.3499999999999996e-06
amplified_rtr,0.173,1e-07,7,7.0,10752,4096,0.00013795852926699908,-2.45e-06,0.005142929047712302,0.0035167559399857107,0.00842380085019341,3.43e-05,1.715e-05
amplified_rtr,0.173,1e-07,15,15.0,23040,4096,-3.740267700780829e-05,-1.1249999999999997e-05,0.0025266294546592125,0.0017113915627994386,0.004169378455423686,0.00033749999999999996,0.00016874999999999995
