reduction_index,source,graph6,reduced_graph6,n,leaf,neighbour,coverage,total_time,screen_steps,original_success,reduced_success,absolute_difference
253,atlas,F[EoG,D[C,7,6,5,1.0,10.0,120,0.3136453889737942,0.5114693133121101,0.19782392433831592
672,unit_disk,HCPH_pK,FTOd_,9,0,3,1.0,10.0,120,0.4448540445526674,0.6424187239389153,0.1975646793862479
633,unit_disk,G~JsGC,E~cG,8,4,2,1.0,10.0,120,0.692434415763143,0.8895195682035848,0.19708515244044178
52,atlas,EC{O,CF,6,5,3,1.0,10.0,120,0.3178193582637222,0.5148959499630914,0.1970765916993692
73,atlas,EhX_,Cs,6,0,1,1.0,10.0,120,0.3179992570148398,0.5148959499630913,0.19689669294825152
74,atlas,EhX_,Ci,6,3,2,1.0,10.0,120,0.3179992570148398,0.5148959499630903,0.19689669294825052
755,unit_disk,JOig?@An?b_,Hes?Fob,11,1,8,1.0,10.0,120,0.2927291852125844,0.48952697165287806,0.19679778644029366
756,unit_disk,JOig?@An?b_,HOigDwR,11,6,8,1.0,10.0,120,0.2927291852125844,0.4895269716528774,0.196797786440293
519,atlas,Fhey?,DL{,7,6,1,1.0,10.0,120,0.5005273040273345,0.6971628964984208,0.1966355924710863
655,unit_disk,GPae?O,ESo_,8,3,2,1.0,5.0,120,0.7529986483896345,0.9493061499801354,0.19630750159050092
661,unit_disk,GoTM?W,E\_o,8,2,0,1.0,10.0,120,0.37560080696222126,0.5712307223662323,0.19562991540401103
200,atlas,Fko`?,DqO,7,3,0,1.0,10.0,120,0.32023339794196576,0.5157443594477873,0.19551096150582153
740,unit_disk,JJ\|?H~?O?_,HJ\|?H~,11,10,9,1.0,5.0,120,0.38370767290511154,0.5788819785059102,0.19517430560079863
521,atlas,Flf_O,Dlw,7,6,4,1.0,5.0,120,0.618475786134575,0.8135071887114442,0.19503140257686924
66,atlas,EsCW,CJ,6,1,0,1.0,10.0,120,0.4439349351589814,0.6388697058755038,0.19493477071652243
67,atlas,EsCW,CJ,6,2,0,1.0,10.0,120,0.4439349351589814,0.6388697058755038,0.19493477071652243
195,atlas,FMoG_,DMC,7,5,4,1.0,5.0,120,0.6351449306680957,0.829989130372832,0.1948441997047362
196,atlas,FMoG_,DMC,7,6,3,1.0,5.0,120,0.6351449306680957,0.829989130372832,0.1948441997047362
248,atlas,FE|A?,DYO,7,2,4,1.0,10.0,120,0.3211964247025959,0.5157443594477867,0.19454793474519083
264,atlas,Fepa?,DSO,7,6,1,1.0,10.0,120,0.3693795240417936,0.5636989691932079,0.19431944515141436
500,atlas,F~aGG,D~_,7,6,5,1.0,5.0,120,0.6401231768436856,0.8343983275726448,0.19427515072895918
309,atlas,FFwc?,D]_,7,5,2,1.0,5.0,120,0.3289478110373788,0.5230901662679986,0.19414235523061985
310,atlas,FFwc?,D]O,7,6,0,1.0,5.0,120,0.3289478110373788,0.5230901662679986,0.19414235523061985
403,atlas,FyQAg,DcK,7,4,1,1.0,10.0,120,0.31748005936650187,0.5114693133121098,0.1939892539456079
259,atlas,FH?NW,DgC,7,0,6,1.0,10.0,120,0.3697739218271319,0.5636989691932075,0.19392504736607558
394,atlas,FB}GO,DB_,7,6,4,1.0,10.0,120,0.37046239259607255,0.5636989691932072,0.1932365765971346
211,atlas,FhoG_,DhC,7,5,4,1.0,10.0,120,0.31831241033095425,0.5114693133121088,0.1931569029811545
736,unit_disk,J_jMMMKTtX?,HdvM[qx,11,3,9,1.0,10.0,120,0.40277280504951596,0.5955308189695522,0.19275801392003622
334,atlas,FFw_G,DFw,7,6,5,1.0,5.0,120,0.37919605630099584,0.5719295896887245,0.1927335333877287
2,atlas,CF,A?,4,0,3,1.0,10.0,120,0.5148959499630914,0.7076257205572795,0.19272977059418805
3,atlas,CF,A?,4,1,3,1.0,10.0,120,0.5148959499630914,0.7076257205572795,0.19272977059418805
4,atlas,CF,A?,4,2,3,1.0,10.0,120,0.5148959499630914,0.7076257205572795,0.19272977059418805
644,unit_disk,GyFs?O,Ey}?,8,7,4,1.0,5.0,120,0.3113887627189673,0.5030819906377424,0.19169322791877508
361,atlas,FjuA?,DL_,7,6,1,1.0,10.0,120,0.3198764268838106,0.5114693133121088,0.19159288642829814
289,atlas,FFwH?,DFG,7,5,4,1.0,5.0,120,0.6389740389737286,0.8299891303728326,0.191015091399104
422,atlas,FhdW_,DkS,7,6,3,1.0,10.0,120,0.3137936557117927,0.5043028756125119,0.19050921990071917
