candidate_rank,source,graph6,n,leaf,neighbour,total_time,steps,omega_scale,original_success,reduced_success,absolute_success_difference
9,unit_disk,G`k|x{,8,1,0,10.0,240,1.3333333333333333,0.7007400481519258,0.5309991827700473,0.1697408653818785
9,unit_disk,G`k|x{,8,1,0,20.0,240,1.0,0.9168087129095301,0.8881552268622382,0.0286534860472919
9,unit_disk,G`k|x{,8,1,0,20.0,240,1.1547005383792515,0.9168087129095301,0.8672989282872484,0.04950978462228173
9,unit_disk,G`k|x{,8,1,0,20.0,240,1.3333333333333333,0.9168087129095301,0.8732642053575943,0.04354450755193584
9,unit_disk,G`k|x{,8,1,0,40.0,240,1.0,0.9677832794307069,0.9929339555698978,0.025150676139190975
9,unit_disk,G`k|x{,8,1,0,40.0,240,1.1547005383792515,0.9677832794307069,0.9821702642646702,0.01438698483396339
9,unit_disk,G`k|x{,8,1,0,40.0,240,1.3333333333333333,0.9677832794307069,0.9973753522690105,0.029592072838303674
10,unit_disk,JJ\|?H~?O?_,11,0,6,5.0,240,1.0,0.3835315661584652,0.34893719415266644,0.034594372005798735
10,unit_disk,JJ\|?H~?O?_,11,0,6,5.0,240,1.1055415967851334,0.3835315661584652,0.3179361256248912,0.06559544053357397
10,unit_disk,JJ\|?H~?O?_,11,0,6,5.0,240,1.2222222222222223,0.3835315661584652,0.46611795240963905,0.08258638625117387
10,unit_disk,JJ\|?H~?O?_,11,0,6,10.0,240,1.0,0.5256837454221633,0.5348782449825564,0.009194499560393088
10,unit_disk,JJ\|?H~?O?_,11,0,6,10.0,240,1.1055415967851334,0.5256837454221633,0.4261566180816452,0.09952712734051816
10,unit_disk,JJ\|?H~?O?_,11,0,6,10.0,240,1.2222222222222223,0.5256837454221633,0.5783018989071816,0.052618153485018304
10,unit_disk,JJ\|?H~?O?_,11,0,6,20.0,240,1.0,0.8945855198268174,0.9107046745458051,0.016119154718987616
10,unit_disk,JJ\|?H~?O?_,11,0,6,20.0,240,1.1055415967851334,0.8945855198268174,0.8987520891764831,0.004166569349665639
10,unit_disk,JJ\|?H~?O?_,11,0,6,20.0,240,1.2222222222222223,0.8945855198268174,0.8324209810105887,0.06216453881622874
10,unit_disk,JJ\|?H~?O?_,11,0,6,40.0,240,1.0,0.9736238794570486,0.9822082978545431,0.008584418397494464
10,unit_disk,JJ\|?H~?O?_,11,0,6,40.0,240,1.1055415967851334,0.9736238794570486,0.968509083736962,0.005114795720086662
10,unit_disk,JJ\|?H~?O?_,11,0,6,40.0,240,1.2222222222222223,0.9736238794570486,0.9643482427664679,0.009275636690580735
11,unit_disk,K`ouUs?NpgaC,12,8,11,5.0,240,1.0,0.541677327139413,0.5378243253798717,0.0038530017595412858
11,unit_disk,K`ouUs?NpgaC,12,8,11,5.0,240,1.0954451150103321,0.541677327139413,0.4200649590117591,0.12161236812765386
11,unit_disk,K`ouUs?NpgaC,12,8,11,5.0,240,1.2,0.541677327139413,0.39543367883627395,0.14624364830313902
11,unit_disk,K`ouUs?NpgaC,12,8,11,10.0,240,1.0,0.8525156522233794,0.884431230850971,0.031915578627591534
11,unit_disk,K`ouUs?NpgaC,12,8,11,10.0,240,1.0954451150103321,0.8525156522233794,0.6489934927114148,0.20352215951196462
11,unit_disk,K`ouUs?NpgaC,12,8,11,10.0,240,1.2,0.8525156522233794,0.5981098545635847,0.25440579765979476
11,unit_disk,K`ouUs?NpgaC,12,8,11,20.0,240,1.0,0.880962708201246,0.9020163117349326,0.02105360353368657
11,unit_disk,K`ouUs?NpgaC,12,8,11,20.0,240,1.0954451150103321,0.880962708201246,0.8937360121838781,0.0127733039826321
11,unit_disk,K`ouUs?NpgaC,12,8,11,20.0,240,1.2,0.880962708201246,0.9440360236268693,0.06307331542562333
11,unit_disk,K`ouUs?NpgaC,12,8,11,40.0,240,1.0,0.964433333609751,0.9526185574423848,0.011814776167366259
11,unit_disk,K`ouUs?NpgaC,12,8,11,40.0,240,1.0954451150103321,0.964433333609751,0.9443732843268621,0.02006004928288896
11,unit_disk,K`ouUs?NpgaC,12,8,11,40.0,240,1.2,0.964433333609751,0.9398411134298624,0.024592220179888602
